data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
27/03/2023;17:04:00;128;AC02-ACIDENTE COM VÍTIMA;302;BR-163/PA;Norte;Colisão Traseira;1;;;;;;;;;1;0;2;;;
28/03/2023;09:19:00;72;AC02-ACIDENTE COM VÍTIMA;387;BR-163/PA;Norte;Colisão Traseira;;;2;;;4;;;;;4;1;1;;
29/03/2023;07:27:00;52;AC02-ACIDENTE COM VÍTIMA;1114,443;BR-163/MT;Norte;Colisão Traseira;;;1;1;;;;;;;1;2;1;;
29/03/2023;08:03:00;65;AC03-ACIDENTE SEM VÍTIMA;562,915;BR-163/PA;Norte;Colisão Lateral;;;2;;;;;;;;2;;;;
29/03/2023;13:46:00;148;AC02-ACIDENTE COM VÍTIMA;285;BR-163/PA;Norte;Colisão Lateral;;;3;;;;;;;;0;3;;;
30/03/2023;07:55:00;52;AC02-ACIDENTE COM VÍTIMA;105;BR-163/PA;Norte;Tombamento;;;1;;;1;;;;;1;1;;;
30/03/2023;16:19:00;139;AC02-ACIDENTE COM VÍTIMA;1015,49;BR-163/MT;Sul;Tombamento;;;1;;;;;;;;0;1;;;
30/03/2023;18:02:00;146;AC02-ACIDENTE COM VÍTIMA;635;BR-163/PA;Sul;Colisão Traseira;;;1;;;1;;;;;1;1;;;
31/03/2023;06:21:00;21;AC02-ACIDENTE COM VÍTIMA;312;BR-163/PA;Norte;Colisão Traseira;;;2;;;;;;;;0;2;;;
31/03/2023;13:21:00;104;AC03-ACIDENTE SEM VÍTIMA;394,283;BR-163/PA;Sul;Saida de Pista;1;;;;;;;;;;1;;;;
31/03/2023;14:11:00;112;AC02-ACIDENTE COM VÍTIMA;604;BR-163/PA;Sul;Colisão Traseira;;;2;;;;;;;;2;;;1;
31/03/2023;18:54:00;141;AC03-ACIDENTE SEM VÍTIMA;1040,802;BR-163/MT;Norte;Colisão Traseira;2;;;;;;;;;;2;;;;
